,Date,None,+2,+1,0,-1,-2,polarity,subjectivity,pos_refs_per_ref,neg_refs_per_ref,senti_diffs_per_ref
78,20200328,40912,259,408,37,445,289,-0.04782298358315489,0.0330814639905549,0.015749704840613932,0.017331759149940968,-0.0015820543093270367
79,20200329,32170,258,424,21,368,322,-0.0058309037900874635,0.040878348181032684,0.020319995232845695,0.020558352948186993,-0.00023835771534129845
80,20200330,33268,235,475,31,414,421,-0.08090614886731391,0.04434048903684996,0.020376535414992538,0.023963953621857423,-0.0035874182068648835
81,20200331,34320,264,431,27,408,449,-0.10438144329896908,0.04323240201676927,0.019359870748488817,0.023872531268280452,-0.004512660519791638
82,20200401,33049,280,477,37,467,467,-0.10467179183914843,0.048624090634614835,0.02176725997067027,0.02685683066394456,-0.00508957069327429
83,20200402,33090,318,458,43,369,384,0.015042511445389144,0.04411170734521955,0.022387629103917835,0.021724078241301712,0.0006635508626161214
84,20200403,36489,253,473,43,425,360,-0.039046988749172735,0.039718213600399545,0.019083668480403753,0.020634545119995795,-0.0015508766395920406
85,20200404,40107,170,376,70,425,407,-0.20754716981132076,0.033160871134640835,0.013139213091084106,0.020021658043556732,-0.0068824449524726265
86,20200405,32236,231,391,31,403,285,-0.050381679389312976,0.039014801798850404,0.018524585281591566,0.02049021651725884,-0.0019656312356672724
87,20200406,31934,299,483,27,323,347,0.07713498622589532,0.0434561398258163,0.02340406428635561,0.02005207553946069,0.003351988746894921
88,20200407,33789,303,535,28,403,350,0.05342551854179761,0.044933348395842745,0.023666967916854947,0.0212663804789878,0.002400587437867149
89,20200408,33743,290,569,35,385,306,0.10838709677419354,0.04387454710144927,0.024314990942028984,0.019559556159420288,0.004755434782608696
90,20200409,34554,265,518,23,354,333,0.0653061224489796,0.040780092656809167,0.02172164119066774,0.019058451466141428,0.002663189724526313
91,20200410,36373,423,552,48,377,260,0.20967741935483872,0.04238424526069466,0.025635632214129834,0.016748613046564824,0.00888701916756501
92,20200411,39145,448,604,63,541,286,0.11974454497072912,0.0457322267383844,0.025604205709835227,0.020128021028549176,0.005476184681286051
93,20200412,32532,300,488,38,344,277,0.1185237757274663,0.04146678831042703,0.0231907943141352,0.018275993996291828,0.004914800317843374
94,20200413,33382,309,530,24,364,285,0.12768817204301075,0.04264343440132974,0.02404424829483579,0.018599186106493953,0.005445062188341836
95,20200414,33529,356,570,32,359,335,0.14320987654320988,0.04604758250191865,0.026321025553565844,0.019726556948352805,0.006594468605213041
96,20200415,33847,504,522,58,360,257,0.248934875228241,0.0462191965792731,0.028862383256441995,0.0173568133228311,0.011505569933610892
97,20200416,33531,391,619,32,332,279,0.2461443553362122,0.04607207821737153,0.028706230104592997,0.017365848112778536,0.01134038199181446
98,20200417,35410,304,543,22,408,332,0.06742281033396345,0.042869877630406006,0.02288014262946055,0.01998973500094546,0.002890407628515087
99,20200418,39601,257,510,40,473,327,-0.021059349074664963,0.03802659677732479,0.01861289070083479,0.01941370607649,-0.0008008153756552125
100,20200419,30902,334,457,34,355,363,0.04837640821736249,0.04650947757743874,0.024379719525350594,0.02212975805208815,0.002249961473262444
101,20200420,32436,269,483,19,393,499,-0.0851581508515815,0.04821255755300742,0.02205343265198393,0.02615912490102349,-0.004105692249039561
102,20200421,32272,320,479,30,401,423,-0.015403573629081947,0.04784082535003684,0.02355195283714075,0.024288872512896093,-0.0007369196757553427
103,20200422,32162,322,621,26,467,392,0.04661487236403995,0.053015592821418066,0.02774345395704619,0.025272138864371876,0.002471315092674316
104,20200423,32498,286,496,28,364,413,0.003207184092366902,0.045738594689746226,0.022942643391521196,0.022795951298225026,0.00014669209329617132
105,20200424,35607,352,533,26,449,332,0.062424969987995196,0.04466607683852114,0.023727177672323654,0.020938899166197487,0.0027882785061261696
106,20200425,38201,329,582,35,481,379,0.028797289666854884,0.04426725323068463,0.022771015072362337,0.021496238158322294,0.001274776914040043
107,20200426,30840,295,438,23,343,299,0.06618181818181817,0.04265152925119424,0.02273714250263664,0.019914386748557604,0.002822755754079037
108,20200427,33459,286,580,32,409,318,0.08725674827369742,0.0454053129631741,0.024683616463345114,0.02072169649982898,0.003961919963516133
109,20200428,32984,397,505,30,385,324,0.11980136561142148,0.04652707581227437,0.026050541516245487,0.02047653429602888,0.005574007220216607
110,20200429,35378,361,596,25,386,332,0.1426865671641791,0.045175036409730834,0.025810453638276068,0.01936458277145477,0.0064458708668212955
111,20200430,33758,325,538,30,394,423,0.02738095238095238,0.04736664035186647,0.02433179203789331,0.02303484831397316,0.0012969437239201535
112,20200501,34340,328,517,28,384,392,0.04256631708821715,0.04504154047069938,0.02347939648225847,0.02156214398844091,0.0019172524938175554
113,20200502,39102,355,551,41,451,404,0.028960817717206135,0.043052024251906906,0.02214942303931156,0.020902601212595344,0.0012468218267162137
114,20200503,28119,268,418,26,329,309,0.03625377643504532,0.04492856900471682,0.023278699650480166,0.021649869354236656,0.0016288302962435101
115,20200504,31056,271,479,19,279,384,0.06157112526539278,0.04349298202413199,0.023085446934252647,0.02040753508987934,0.0026779118443733072
116,20200505,27225,352,462,32,304,329,0.12508638562543192,0.05041109253065775,0.028358416945373468,0.02205267558528428,0.006305741360089186
117,20200506,27465,349,465,18,320,298,0.13687150837988826,0.0495244682690645,0.028151478471381636,0.021372989797682863,0.006778488673698772
118,20200507,28782,336,473,16,261,309,0.17331399564902103,0.045697054047784735,0.02680849653709779,0.018888557510686948,0.007919939026410843
119,20200508,30763,333,428,24,243,309,0.15917745620715917,0.04090342679127726,0.023707165109034267,0.017196261682242992,0.006510903426791277
120,20200509,39987,278,411,30,353,285,0.03843255463451394,0.03209655572755418,0.016665054179566565,0.015431501547987616,0.0012335526315789473
121,20200510,27897,267,392,18,277,266,0.09650582362728785,0.041281725452484805,0.02263282618401621,0.01864889926846859,0.003983926915547618
122,20200511,29183,275,411,35,292,347,0.03547169811320755,0.04338146220083162,0.022460138165864518,0.020921324034967097,0.0015388141308974232
123,20200512,28293,255,385,26,346,331,-0.02809415337889142,0.04443919557295182,0.02159535699824538,0.022843838574706437,-0.0012484815764610608
124,20200513,28772,274,444,41,323,341,0.03907380607814761,0.04576916708064249,0.023778771319754928,0.021990395760887564,0.0017883755588673621
125,20200514,29795,305,440,43,302,324,0.08679795769511306,0.0439296356820148,0.023871319170752026,0.02005831651126278,0.00381300265948925
